"SIDO_NM","SGG_NM","HADM_CD","ATRCTN_CNT","RSTRT_CNT","SHOPNG_CNT","RESIDNT_CNT_SUM","FILE_NAME","BASE_YMD"
"강원도","영월군","4275025000","41.00000","495.00000","80.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275025300","6.00000","19.00000","6.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275031000","8.00000","16.00000","6.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275032500","14.00000","53.00000","13.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275033000","4.00000","37.00000","6.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275034000","10.00000","21.00000","6.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275035500","9.00000","43.00000","12.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275036000","15.00000","113.00000","18.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","영월군","4275038000","14.00000","30.00000","5.00000","38710.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213025000","12.00000","447.00000","28.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213031000","35.00000","210.00000","26.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213032000","21.00000","52.00000","20.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213033000","19.00000","264.00000","16.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213035000","24.00000","50.00000","9.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213036000","25.00000","42.00000","4.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213037000","23.00000","234.00000","18.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213038000","26.00000","177.00000","13.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213039000","28.00000","114.00000","17.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213051500","4.00000","407.00000","26.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213052000",,"97.00000","15.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213053000","2.00000","255.00000","24.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213054100","7.00000","151.00000","18.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213054200",,"197.00000","26.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213055000","4.00000","906.00000","52.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","원주시","4213056000","3.00000","228.00000","23.00000","353928.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
